,gpt_says,label,pro
0,No,0,0
1,No.,0,0
2,Yes.,1,1
3,No,0,0
4,"No, Issue_Text is not related to Commit_Text.",0,0
5,No,0,0
6,No,1,0
7,"No, Issue_Text is not related to Commit_Text.",0,0
8,"No, Issue_Text is not related to Commit_Text.",0,0
9,No,1,0
10,No,0,0
11,No,0,0
12,Yes,1,1
13,No,0,0
14,No,0,0
15,No,0,0
16,No,0,0
17,No,1,0
18,No.,1,0
19,No.,0,0
20,Yes,1,1
21,No,1,0
22,No,0,0
23,No,0,0
24,No.,0,0
25,No,0,0
26,No,0,0
27,yes,1,1
28,No,0,0
29,No,1,0
30,no,0,0
31,No.,1,0
32,No,1,0
33,No.,1,0
34,No,1,0
35,No.,0,0
36,No.,0,0
37,No,1,0
38,No,1,0
39,No,1,0
40,No,0,0
41,No,0,0
42,No.,0,0
43,No.,0,0
44,No.,1,0
45,No.,1,0
46,"No, Issue_Text is not related to Commit_Text.",0,0
47,No,0,0
48,No.,1,0
49,No,1,0
50,No,0,0
51,No.,1,0
52,No.,1,0
53,No,0,0
54,No.,0,0
55,No,1,0
56,No. Issue_Text is not related to Commit_Text.,0,0
57,No,0,0
58,No,0,0
59,No.,0,0
60,No.,0,0
61,No,0,0
62,No.,0,0
63,Yes,1,1
64,Yes,1,1
65,No,1,0
66,No.,1,0
67,yes,1,1
68,No,1,0
69,No.,1,0
70,No.,0,0
71,Yes,1,1
72,No,1,0
73,Yes,1,1
74,No,1,0
75,No,0,0
76,No,1,0
77,No,1,0
78,No.,1,0
79,"No, Issue_Text is not related to Commit_Text.",1,0
80,No.,0,0
81,Yes,1,1
82,No,0,0
83,No,0,0
84,No.,0,0
85,No.,0,0
86,No. Issue_Text is not directly related to Commit_Text.,0,0
87,No,1,0
88,No,1,0
89,No. Issue_Text is not related to Commit_Text.,1,0
90,No,1,0
91,No. Is Issue_Text not related to Commit_Text.,0,0
92,No,0,0
93,No,0,0
94,No,0,0
95,No. Issue_Text and Commit_Text are not related as they contain different information.,1,0
96,No,0,0
97,No,0,0
98,No,0,0
99,No,0,0
100,no,1,0
101,No,0,0
102,no,0,0
103,No,1,0
104,Yes,1,1
105,No,1,0
106,No,1,0
107,No,0,0
108,No.,0,0
109,Yes,1,1
110,No.,1,0
111,No,0,0
112,No. Issue_Text is not related to Commit_Text.,1,0
113,No.,0,0
114,No,0,0
115,No,1,0
116,Yes,0,1
117,No.,0,0
118,No,0,0
119,No.,1,0
120,No.,1,0
121,"There is no mention of Commit_Text in the given Issue_Text, so they are not related.",1,0
122,No. The Issue_Text is not related to the Commit_Text.,1,0
123,No.,1,0
124,No.,1,0
125,No,1,0
126,"No, Issue_Text is not related to Commit_Text.",0,0
127,No,1,0
128,Yes.,1,1
129,No,0,0
130,Yes.,1,1
131,"No, Issue_Text is not related to Commit_Text.",0,0
132,No.,0,0
133,Yes,1,1
134,Yes.,1,1
135,No.,0,0
136,"No, Issue_Text is not related to Commit_Text.",0,0
137,Yes,1,1
138,No,1,0
139,"No, the Issue_Text is not related to the Commit_Text.",1,0
140,No,1,0
141,no,1,0
142,No,0,0
143,Yes,1,1
